descTerm
"Airport; Aerodrome, terminal and gates"
Amenity; ATM
Amenity; Automatic number plate reader
Amenity; Bandstand
Amenity; BBQ point
Amenity; Bicycle parking
Amenity; Bike monitoring
Amenity; Bike rental point
Amenity; Boat mooring
Amenity; Car wash
Amenity; Clock
Amenity; Dog walking park
Amenity; Electric car charging point
Amenity; Emergency phone
Amenity; Fire hydrant
Amenity; Flood defence
Amenity; Fountain (decorative)
Amenity; Free library
Amenity; Fuel station
Amenity; Garages and sheds
Amenity; Grit bin
Amenity; Information board
Amenity; Low emissions zone signage
Amenity; Milestones and stone markers
Amenity; Outdoor seating
Amenity; Park
Amenity; Parking
Amenity; Parking (entrance)
Amenity; Parking meter
Amenity; Piers and boardwalks
Amenity; Post box
Amenity; Public telephone or telephone box
Amenity; Public toilets
Amenity; Public trash bin
Amenity; Real time passenger information display
Amenity; Scenic viewpoint
Amenity; Self-service parcel locker
Amenity; Street art or art installation
Amenity; Street lamp
Amenity; Surveillance camera or CCTV
Amenity; Toll booth
Amenity; Transport timetable
Amenity; Underground and multi-storey car parks
Amenity; Warning siren
Amenity; Water point
Amenity; Waymarker
Animal; Boarding
Animal; Shelter and welfare
Animal; Veterinarian
Attractions
Attractions; Amusement arcade
Attractions; Aquarium
Attractions; Betting shop
Attractions; Bingo hall
Attractions; Boathouse
Attractions; Botanical garden
Attractions; Bowling alley
Attractions; Burlesque club
Attractions; Caberet club
Attractions; Casinos and gaming
Attractions; Cinema
Attractions; Comedy club
Attractions; Escape room
Attractions; Go Karting centre
Attractions; Historic
Attractions; Karaoke
Attractions; Miniature railway
Attractions; Multiplex
Attractions; Museums and art galleries
Attractions; Music or concert venue
Attractions; Nightclub
Attractions; Paintball
Attractions; Pool hall
Attractions; Sauna
Attractions; Science centre
Attractions; Sex industry
Attractions; Soft play
Attractions; Stripclubs and erotic dancing
Attractions; Theatre
Attractions; Trampoline park
Attractions; Water and theme parks
Attractions; Zoological garden
Barrier
Barrier; Bollard
Barrier; Cycle
Barrier; Height restriction
Barrier; Wall
Brownfield site
Buildings; Archive
Buildings; Childcare
Buildings; Clinical science
Buildings; Co-op
Buildings; Council depot
Buildings; Council offices
Buildings; Courthouses
Buildings; Depots
Buildings; Education
Buildings; Education centre
Buildings; Environmental regulators and managers
Buildings; Estate
Buildings; Food centre
Buildings; Government transport agencies
Buildings; Headquarters
Buildings; Laboratory
Buildings; Lawyers and solicitors
Buildings; Learned societies
Buildings; Legal aid
Buildings; Library
Buildings; Lighthouse
Buildings; Lighthouses
Buildings; Lost property office
Buildings; Nurseries and kindergartens
Buildings; Political offices
Buildings; Prison and offenders institutes
Buildings; Public
Buildings; Pumping station
Buildings; Removal
Buildings; Research
Buildings; Scottish gas
Buildings; Service
Buildings; Supplier
Buildings; Terminal
Buildings; Transport police
Buildings; Unspecified
Business and commerce; Accountants and auditors
Business and commerce; Administrative office
Business and commerce; Advertising and graphic design
Business and commerce; Agencies
Business and commerce; Appliances
Business and commerce; Architect
Business and commerce; Architects and urban planners
Business and commerce; Bank
Business and commerce; Bank office
Business and commerce; Banks and building societies
Business and commerce; Business centres and managed / serviced offices
Business and commerce; Business park
Business and commerce; Chambers
Business and commerce; Company office
Business and commerce; Consultancy
Business and commerce; Coworking office
Business and commerce; Credit union
Business and commerce; Defence agencies
Business and commerce; Employment and recruitment agencies
Business and commerce; Engineering
Business and commerce; Finances and investment
Business and commerce; Financial advice
Business and commerce; Financial advisor
Business and commerce; Insurance
Business and commerce; Interior designers
Business and commerce; Investment
Business and commerce; Letting and estate agents
Business and commerce; Money transfer and currency exchange
Business and commerce; NGO
Business and commerce; Office
Business and commerce; Oil major
Business and commerce; Online retailer
Business and commerce; Pawnbrokers and money lenders
Business and commerce; Product development
Business and commerce; Production company
Business and commerce; Property development and construction
Business and commerce; Property management and maintenance
Business and commerce; Public relations
Business and commerce; Publishing
Business and commerce; QUANGO
Business and commerce; Recruitment
Business and commerce; Research and development
Business and commerce; Retail company offices
Business and commerce; Retail conglomerate
Business and commerce; Retail park
Business and commerce; Safety and security
Business and commerce; Surveying company
Business and commerce; Tax advisor
Business and commerce; Technology and software
Business and commerce; Tourist information offices and tourist boards
Business and commerce; Transport operator offices
Business and commerce; Travel agency
Business and commerce; Unspecified
College
Community centres
Community centres; Breakfast &amp; after school clubs and youth centres
"Community centres; Hall (Town, village or church)"
Community centres; Social clubs
Community centres; Youth organisations
Council; Park and street care
Creative spaces; Art studios and centres
Creative spaces; Dance studios
Creative spaces; Photo studios and photographers
