osm_id,desc,geometry
319581841,Amenity; Flood defence,"list(c(-3.1997108, -3.1995079, -3.1994803, -3.199417, -3.1993407, -3.1992586, -3.1990694, -3.1989779, -3.1989523, -3.19894611746445, 55.9629044, 55.9630574, 55.9630992, 55.9631159, 55.9632729, 55.9634315, 55.9637865, 55.9639677, 55.9640752, 55.9648025173468), c(-3.19830401970529, -3.1980096, -3.1972274, -3.1964397, -3.1961376, -3.1958887, -3.1958724, -3.195864, -3.1958724, -3.1958816, 55.9660334052832, 55.966143, 55.9664546, 55.9667939, 55.9669299, 55.9670777, 55.9670932, 55.9671128, 55.9671441, 
55.9671641))"
334340797,Barrier; Wall,"c(-3.1679142, -3.1679696, -3.1681882, -3.1680932, -3.1681071, -3.1680599, -3.1681515, -3.1680697, -3.1684313, -3.1683345, -3.16794006644823, 55.9679639, 55.9679835, 55.9677908, 55.967757, 55.9677447, 55.967728, 55.9676472, 55.9676181, 55.9672993, 55.9672649, 55.9671247610815)"
341817970,Barrier; Wall,"c(-3.19983780699576, -3.1998008, -3.19982093926819, 55.9630931672183, 55.9631191, 55.9631255022982)"
341817983,Barrier; Wall,"c(-3.19957190785678, -3.199394, 55.9636028902905, 55.9635751)"
341817984,Barrier; Wall,"c(-3.19940199700157, -3.1992298, 55.9639286058361, 55.9639035)"
341817996,Barrier; Wall,"c(-3.19964101138896, -3.1994653, 55.9634704202687, 55.9634406)"
341817999,Barrier; Wall,"c(-3.19920291518697, -3.1991787, 55.964310241499, 55.9643071)"
341818005,Barrier; Wall,"c(-3.19926857856574, -3.1991683, 55.9641843661792, 55.9641718)"
341818015,Barrier; Wall,"c(-3.19960655460995, -3.199422, 55.9635364731914, 55.9635053)"
341818016,Barrier; Wall,"c(-3.19943528123694, -3.1992614, 55.963864800655, 55.9638393)"
341818021,Barrier; Wall,"c(-3.19950257620434, -3.1993225, 55.963735797614, 55.9637081)"
341818033,Barrier; Wall,"c(-3.19930092071521, -3.1991643, 55.964122366957, 55.9641049)"
341818042,Barrier; Wall,"c(-3.19967395841998, -3.199505, 55.9634072615013, 55.963379)"
341818043,Barrier; Wall,"c(-3.19946848076744, -3.1992943, 55.9638011578514, 55.9637759)"
341818050,Barrier; Wall,"c(-3.19953864933394, -3.1993567, 55.9636666461812, 55.9636385)"
341818053,Barrier; Wall,"c(-3.19936683773764, -3.1991962, 55.9639960054076, 55.9639734)"
341818063,Barrier; Wall,"c(-3.19933488300452, -3.1991763, 55.9640572619607, 55.9640366)"
341818069,Barrier; Wall,"c(-3.19923579623571, -3.1991699, 55.9642472092182, 55.9642388)"
341818080,Barrier; Wall,"c(-3.1998008, -3.1996993, -3.1995604, -3.199505, -3.1994653, -3.199422, -3.199394, -3.1993567, -3.1993225, -3.1992943, -3.1992614, -3.1992298, -3.1991962, -3.1991763, -3.1991643, -3.1991683, -3.1991699, -3.1991787, -3.19918520886831, 55.9631191, 55.9631981, 55.9633141, 55.963379, 55.9634406, 55.9635053, 55.9635751, 55.9636385, 55.9637081, 55.9637759, 55.9638393, 55.9639035, 55.9639734, 55.9640366, 55.9641049, 55.9641718, 55.9642388, 55.9643071, 55.9643441841405)"
341818092,Barrier; Wall,"c(-3.19970852855066, -3.1996884, -3.1995604, 55.9633409912859, 55.9633373, 55.9633141)"
341818146,Barrier; Wall,"c(-3.19972902044628, -3.1996884, 55.9633017087518, 55.9633373)"
425308239,Barrier; Wall,"c(-3.18041835623871, -3.1804919, 55.9745452810227, 55.9745122)"
457208976,Barrier; Wall,"c(-3.19299356550815, -3.1928226, -3.1928854, -3.1929523, -3.1930148, -3.193073, -3.1931226, -3.1931672, -3.1932501, -3.1933361, -3.1934434, -3.1935965, -3.1936673, -3.1937381, -3.1938811, -3.1940052, -3.1940929, 55.9701578061322, 55.9702594, 55.9702859, 55.9703098, 55.9703366, 55.9703659, 55.9704012, 55.9704372, 55.9705112, 55.9705836, 55.9706775, 55.9707601, 55.9707914, 55.9708226, 55.9708914, 55.970945, 55.9709905)"
457211520,Barrier; Wall,"c(-3.19426017128404, -3.1940929, 55.9709008415328, 55.9709905)"
457220227,Barrier; Wall,"c(-3.1940929, -3.1941908, -3.1942912, -3.1944903, -3.194842, -3.1950706, -3.1953173, -3.1955635, -3.1958095, -3.1960563, -3.1963025, -3.1965827, -3.1968664, -3.1970618, -3.19710878762012, 55.9709905, 55.971056, 55.9711271, 55.9712746, 55.9715458, 55.9716873, 55.9718262, 55.9719511, 55.9720715, 55.9721825, 55.9722824, 55.97239, 55.9724917, 55.9725565, 55.9725719398499)"
457220231,Barrier; Wall,"c(-3.19289378741786, -3.1927302, -3.1924398, 55.9700992728026, 55.9701974, 55.9700008)"
458515495,Barrier; Wall,"c(-3.1990488, -3.1989463, -3.198906, -3.1989349, -3.19893881051356, 55.9627454, 55.9627509, 55.9627119, 55.9626868, 55.9626833979457)"
459342235,Barrier; Wall,"c(-3.1958751, -3.1961741, -3.1966903, -3.19720146694429, 55.9723527, 55.9724886, 55.9727017, 55.9726263087941)"
460574528,Barrier; Wall,"c(-3.16796135593786, -3.168745, -3.1687778, -3.168814, -3.1688672, -3.1689437, -3.1690791, 55.965815888151, 55.9664736, 55.9664909, 55.9665035, 55.9665533, 55.9666248, 55.9665787)"
460574537,Barrier; Wall,"c(-3.16788865512065, -3.1681174, 55.9671633292084, 55.9672446)"
460574538,Barrier; Wall,"c(-3.16713355507604, -3.1670938, 55.9677297956995, 55.9677637)"
460739953,Barrier; Wall,"list(c(-3.1660207, -3.1660079, -3.1660022, -3.1659632, -3.1661278804106, 55.9679547, 55.9679405, 55.9679343, 55.967891, 55.9678412404515), c(-3.16700436476318, -3.1670154, -3.167455, 55.9678267126362, 55.9678305, 55.9679881))"
488284803,Barrier; Wall,"c(-3.19880038858068, -3.198803, -3.1988408, -3.1988452, -3.1988486, -3.1988439, -3.1988339, -3.1988272, -3.1988231, -3.1988245, -3.1988282, -3.1988369, -3.1988449, -3.1988516, -3.1988684, -3.1988717, -3.1988717, -3.1988664, -3.1988583, -3.1988389, -3.1988147, -3.1988, -3.1987929, -3.1987444, 55.9650818765603, 55.9650494, 55.9648224, 55.9646979, 55.9644093, 55.96412, 55.9640768, 55.9640528, 55.9640355, 55.964016, 55.9640038, 55.963982, 55.9639651, 55.9639479, 55.9639118, 55.9638965, 55.9638773, 55.9638616, 
55.9638462, 55.9638274, 55.9638101, 55.9638015, 55.9637967, 55.9637957)"
515813025,Barrier; Wall,"c(-3.18933112880706, -3.1893767, 55.9601130593935, 55.9601121)"
515856896,Barrier; Wall,"c(-3.1870662, -3.18696005208633, 55.9605329, 55.9604152954023)"
660544808,Barrier; Wall,"c(-3.1924398, -3.1924193, -3.1923674, -3.1922114, -3.1918629, -3.1912544, -3.19049434308308, 55.9700008, 55.9699869, 55.9699526, 55.969845, 55.9696044, 55.9691939, 55.9686916745455)"
271503021,Barrier,"c(-3.194637, -3.1946324, -3.1946246, -3.1946139, -3.1946045, -3.1945975, -3.1945917, -3.1945881, -3.1945859, -3.1945856, -3.1945868, -3.1945901, -3.19459069438113, 55.961403, 55.9614044, 55.9614046, 55.9614034, 55.9614002, 55.9613961, 55.9613905, 55.9613847, 55.9613768, 55.9613673, 55.9613601, 55.9613536, 55.961352734651)"
343741994,Barrier,"list(c(-3.1920129, -3.1921491, -3.1922662, -3.1922753, -3.1925045, -3.1928453, -3.1929015, -3.19306518008977, 55.9674153, 55.9673543, 55.9673574, 55.9673694, 55.9674159, 55.9674225, 55.9674234, 55.9674700235228), c(-3.19368694897629, -3.1937911, 55.9674683226603, 55.967467))"
343888575,Barrier,"list(c(-3.1938756, -3.19394306309311, 55.9674656, 55.9674676220546), c(-3.19439811586517, -3.1947684, -3.1951841, -3.1955571, 55.9674663772477, 55.9674534, 55.9673573, 55.9672192))"
437830430,Barrier,"c(-3.1654269, -3.1653684, -3.165429, -3.1650607, -3.1649453, -3.1648548, -3.1647704, -3.1646912, -3.1646574, -3.1646372, -3.1646171, -3.1645759, -3.164486, -3.1644712, -3.1643118, -3.1640014, -3.1636175, -3.16361044369582, 55.9626196, 55.9626353, 55.9627125, 55.9628111, 55.9628207, 55.9628081, 55.9628298, 55.962852, 55.9628108, 55.9627835, 55.9627452, 55.9626804, 55.9625089, 55.9624947, 55.9623422, 55.9620334, 55.9619756, 55.9619745442894)"
437830433,Barrier,"c(-3.1636175, -3.16362559398714, 55.9619756, 55.9619586882022)"
460574602,Barrier,"c(-3.1690859, -3.1691768, -3.1691696, -3.1683137, -3.16817870949471, 55.9672574, 55.9671281, 55.9671155, 55.9669689, 55.9669457340901)"
460574607,Barrier,"list(c(-3.16292688511546, -3.16292908578068, 55.9633897481896, 55.9633934334744), c(-3.16395951737578, -3.1641119, -3.1643143, -3.1644848, -3.1647583, -3.1650271, -3.1652472, -3.1654383, -3.1656254, -3.1657629, -3.1658715, -3.16598, -3.1661411, -3.1662939, -3.1666037, -3.1670807, -3.1671744, -3.1672008, -3.1672864, -3.1678676, -3.16791261032334, 55.9636752185298, 55.9636894, 55.9637136, 55.9637487, 55.9638102, 55.9638758, 55.9639587, 55.9640234, 55.9640921, 55.9641514, 55.9642039, 55.9642563, 55.9643488, 
55.9644512, 55.9646779, 55.9650612, 55.9651365, 55.9651601, 55.9652076, 55.965732, 55.9657725628747), c(-3.16742863633543, -3.16743033862085, 55.9660246118988, 55.9661010973437), c(-3.16832697071576, -3.1683851, -3.1684251, -3.1691907, 55.9668345103996, 55.9668811, 55.9668908, 55.9670756))"
605947056,Barrier,"c(-3.19183181460173, -3.1917609, -3.1915774, -3.1915868, -3.1915802, 55.9675479945954, 55.9674953, 55.9673589, 55.9673544, 55.9673491)"
605947057,Barrier,"c(-3.1915224, -3.1917061, -3.19177832769326, 55.9673761, 55.9675093, 55.967561683748)"
660544811,Barrier,"c(-3.19251761605115, -3.1923674, 55.9698785974769, 55.9699526)"
686923187,Barrier,"c(-3.1698485, -3.1691294, -3.1689018, -3.1686578, -3.1682367129253, 55.9598689, 55.9598296, 55.9597955, 55.9598159, 55.9599835116735)"
779257717,Barrier,"c(-3.1670938, -3.16709014731996, 55.9677637, 55.9677623596484)"
886314792,Barrier,"c(-3.17553032861361, -3.1755922, 55.9692668077895, 55.9691791)"
5057836,Transport infrastructure; Residential road,"c(-3.19583338733917, -3.1958028, 55.9672150459218, 55.967161)"
4786085,Transport infrastructure; Primary Road,"c(-3.19728573103776, -3.1968017, 55.9726757410686, 55.972743)"
4835670,Transport infrastructure; Bridge,"c(-3.19180450688638, -3.191547, 55.9675549835857, 55.9673642)"
41394416,Transport infrastructure; Bridge,"c(-3.1986253, -3.19866104915669, 55.9652896, 55.9653489873135)"
515856893,Amenity; Parking,"list(c(-3.18778977691582, -3.187829, -3.1870662, -3.18696005208633, -3.18778977691582, 55.9603095321772, 55.9603655, 55.9605329, 55.9604152954023, 55.9603095321772))"
516193751,Amenity; Parking,"list(c(-3.18696005208633, -3.1870662, -3.1870189, -3.186976, -3.18688081902986, -3.18696005208633, 55.9604152954023, 55.9605329, 55.9605433, 55.9605516, 55.9604253950682, 55.9604152954023))"
102306812,Amenity; Parking,"list(c(-3.1872498, -3.1872553, -3.186679, -3.1871001, -3.1869223, -3.1868682, -3.1868141, -3.1866392, -3.1865882, -3.1865201, -3.1862369, -3.186074, -3.185692, -3.1859065, -3.1858019, -3.1858999, -3.186234, -3.18639445425961, -3.18653672111302, -3.1865834, -3.1866657, -3.1866928, -3.186842, -3.1868931, -3.186976, -3.1870189, -3.1871187, -3.1872498, 55.9608728, 55.9608806, 55.9610145, 55.9615999, 55.9616133, 55.961582, 55.9615506, 55.9614478, 55.9614189, 55.9613803, 55.9612162, 55.9611218, 55.9609005, 
55.9608546, 55.9606264, 55.9605725, 55.960515, 55.9604873909309, 55.9604692564836, 55.9605478, 55.9605325, 55.9605783, 55.9605505, 55.9605677, 55.9605516, 55.9605433, 55.9606857, 55.9608728))"
326525546,Amenity; Parking,"list(c(-3.1641261, -3.1641497, -3.1637361290621, -3.16367037280251, -3.1641261, 55.9634792, 55.963508, 55.963614130061, 55.9635961481481, 55.9634792))"
458515496,Amenity; Parking,"list(c(-3.1988124, -3.1987337, -3.1987112, -3.1986803, -3.1987348, -3.19887257837017, -3.19892415263328, -3.1989349, -3.198906, -3.1989463, -3.1990488, -3.1990517, -3.1990058, -3.1990114, -3.1990124, -3.1989844, -3.1989739, -3.198969, -3.1989553, -3.1988005, -3.1986923, -3.198548, -3.1985061, -3.1983925, -3.1985886, -3.1987678, -3.1987862, -3.1987977, -3.1988054, -3.1988124, 55.9629723, 55.9629725, 55.9628061, 55.9627902, 55.9627572, 55.96267371414, 55.9626812548161, 55.9626868, 55.9627119, 55.9627509, 
55.9627454, 55.9627737, 55.9627751, 55.9628466, 55.9628592, 55.9629496, 55.9629831, 55.9629988, 55.9629959, 55.9630819, 55.963142, 55.96307, 55.963049, 55.96298, 55.962887, 55.9629965, 55.9629911, 55.9629854, 55.9629799, 55.9629723))"
460574527,Amenity; Parking,"list(c(-3.16796135593786, -3.168745, -3.1687778, -3.168814, -3.1688672, -3.1687987, -3.167900126112, -3.16796135593786, 55.965815888151, 55.9664736, 55.9664909, 55.9665035, 55.9665533, 55.9665761, 55.9658398784804, 55.965815888151))"
460574534,Amenity; Parking,"list(c(-3.1686419, -3.168609, -3.1685744, -3.168543, -3.1685174, -3.1684562, -3.168447, -3.1683345, -3.16794006644823, -3.16809330708626, -3.1684633, -3.1684548, -3.1684309, -3.1685458, -3.1685771, -3.1686231, -3.1686723, -3.1687247, -3.1686905, -3.1686749, -3.1686419, 55.9673033, 55.9673017, 55.967302, 55.967304, 55.967307, 55.967291, 55.967289, 55.9672649, 55.9671247610815, 55.9670098018954, 55.9671318, 55.9671441, 55.9671786, 55.9672114, 55.9672155, 55.9672201, 55.9672232, 55.9672244, 55.9672579, 
55.9672725, 55.9673033))"
471554521,Amenity; Parking,"list(c(-3.1643118, -3.1644712, -3.16427794700977, -3.16405797400318, -3.1640885, -3.1640125, -3.1639672, -3.1639228, -3.16388293864094, -3.1638344126598, -3.163849, -3.16378795189224, -3.16360244731049, -3.16361044369582, -3.1636175, -3.1640014, -3.1643118, 55.9623422, 55.9624947, 55.9625464243574, 55.962362919843, 55.962355, 55.9622635, 55.9622752, 55.9622217, 55.962216902931, 55.9621764218886, 55.9621472, 55.9621376636759, 55.9619829131966, 55.9619745442894, 55.9619756, 55.9620334, 55.9623422))"
75723585,Religious sites and buildings; Place of worship,"list(c(-3.19840599675866, -3.1984867, -3.1983552, -3.198144, -3.1981421, -3.1981417, -3.1981443, -3.1981526, -3.1981672, -3.1981795, -3.1981911, -3.198201, -3.1982365, -3.1983548055246, -3.19840599675866, 55.9626054952149, 55.9626568, 55.9627458, 55.9626528, 55.962648, 55.9626406, 55.9626339, 55.962628, 55.9626234, 55.9626217, 55.9626234, 55.9626177, 55.9626132, 55.9625980105415, 55.9626054952149))"
93234815,Religious sites and buildings; Place of worship,"list(c(-3.18550548688985, -3.1853089, -3.1851363, -3.1850308, -3.185042, -3.18522330271003, -3.18550548688985, 55.9605783789206, 55.9606886, 55.9605824, 55.9605176, 55.960485, 55.9604526113713, 55.9605783789206))"
155809287,Religious sites and buildings; Place of worship,"list(c(-3.19482180454061, -3.1947758, -3.194637, -3.194603, -3.19462701866463, -3.19482180454061, 55.9614626839953, 55.9614866, 55.961403, 55.9613825, 55.9613700157223, 55.9614626839953))"
23136698,School,"list(list(c(-3.1661278804106, -3.1659632, -3.16591738243128, -3.1661278804106, 55.9678412404515, 55.967891, 55.9678430927787, 55.9678412404515)), list(c(-3.16713355507604, -3.1670938, -3.1670702, -3.1670154, -3.16700436476318, -3.16713355507604, 55.9677297956995, 55.9677637, 55.9677838, 55.9678305, 55.9678267126362, 55.9677297956995)))"
23164582,School,"list(c(-3.1894007, -3.1890754, -3.1889934, -3.18869304647052, -3.18933112880706, -3.1893767, -3.1893794, -3.1894141, -3.1894357, -3.1894481, -3.1896988, -3.18966571073115, -3.1911643486168, -3.1912724, -3.1914869, -3.1915057, -3.1915177, -3.1915236, -3.191518, -3.191501, -3.1913295, -3.1913175, -3.1913059, -3.1909462, -3.1909231, -3.1908955, -3.1908734, -3.1908585, -3.1908184, -3.1905891, -3.1902398, -3.1899173, -3.1894007, 55.9613462, 55.9608168, 55.9606833, 55.9601943943655, 55.9601130593935, 55.9601121, 
55.9601167, 55.9601106, 55.9601486, 55.9601723, 55.9601321, 55.9600704109611, 55.9598793828391, 55.9599562, 55.9600954, 55.9601153, 55.9601361, 55.9601634, 55.9601933, 55.9602207, 55.9604934, 55.9605104, 55.960527, 55.960949, 55.960974, 55.9609983, 55.9610082, 55.9610149, 55.961025, 55.9610769, 55.9611561, 55.9612291, 55.9613462))"
258369933,Amenity; Bicycle parking,"c(-3.1745891, 55.9577481)"
370523157,Amenity; Bicycle parking,"c(-3.1970678, 55.9634754)"
446759691,Amenity; Bicycle parking,"c(-3.1763313, 55.9654602)"
446759692,Amenity; Bicycle parking,"c(-3.1769642, 55.964803)"
446759693,Amenity; Bicycle parking,"c(-3.1797874, 55.9618573)"
446759694,Amenity; Bicycle parking,"c(-3.1810341, 55.9614066)"
588498436,Amenity; Bicycle parking,"c(-3.1728507, 55.9690135)"
778778367,Amenity; Bicycle parking,"c(-3.174963, 55.9670709)"
1004534942,Amenity; Bicycle parking,"c(-3.1742071, 55.9647669)"
1094601825,Amenity; Bicycle parking,"c(-3.183601, 55.9598707)"
1094601864,Amenity; Bicycle parking,"c(-3.1782343, 55.9634168)"
1094601867,Amenity; Bicycle parking,"c(-3.1818678, 55.9606353)"
1094601964,Amenity; Bicycle parking,"c(-3.1768207, 55.9649663)"
1094601974,Amenity; Bicycle parking,"c(-3.190225, 55.9645028)"
1151066363,Amenity; Bicycle parking,"c(-3.1833696, 55.9588266)"
1151066365,Amenity; Bicycle parking,"c(-3.1755965, 55.9658761)"
1151066373,Amenity; Bicycle parking,"c(-3.1743716, 55.9673457)"
1151066385,Amenity; Bicycle parking,"c(-3.1809491, 55.9608269)"
1151066389,Amenity; Bicycle parking,"c(-3.1789369, 55.9625906)"
1835565708,Amenity; Bicycle parking,"c(-3.1812115, 55.9614848)"
2558442565,Amenity; Bicycle parking,"c(-3.1796142, 55.9632358)"
