osm_id,desc,geometry
319581841,Amenity; Flood defence,"list(c(-3.1997108, -3.1995079, -3.1994803, -3.199417, -3.1993407, -3.1992586, -3.1990694, -3.1989779, -3.1989523, -3.19894611654381, 55.9629044, 55.9630574, 55.9630992, 55.9631159, 55.9632729, 55.9634315, 55.9637865, 55.9639677, 55.9640752, 55.9648026256508), c(-3.19830408867937, -3.1980096, -3.1972274, -3.1964397, -3.1961376, -3.1958887, -3.1958724, -3.195864, -3.1958724, -3.1958816, 55.9660333796083, 55.966143, 55.9664546, 55.9667939, 55.9669299, 55.9670777, 55.9670932, 55.9671128, 55.9671441, 
55.9671641))"
334340797,Barrier; Wall,"c(-3.1679142, -3.1679696, -3.1681882, -3.1680932, -3.1681071, -3.1680599, -3.1681515, -3.1680697, -3.1684313, -3.1683345, -3.16794010597411, 55.9679639, 55.9679835, 55.9677908, 55.967757, 55.9677447, 55.967728, 55.9676472, 55.9676181, 55.9672993, 55.9672649, 55.9671247751247)"
341817970,Barrier; Wall,"c(-3.19983789458513, -3.1998008, -3.19982098693456, 55.9630931058397, 55.9631191, 55.9631255174514)"
341817983,Barrier; Wall,"c(-3.19957195924227, -3.199394, 55.9636028983172, 55.9635751)"
341817984,Barrier; Wall,"c(-3.19940204864736, -3.1992298, 55.9639286133659, 55.9639035)"
341817996,Barrier; Wall,"c(-3.19964106244148, -3.1994653, 55.9634704289329, 55.9634406)"
341817999,Barrier; Wall,"c(-3.1992029672393, -3.1991787, 55.9643102482519, 55.9643071)"
341818005,Barrier; Wall,"c(-3.19926863073033, -3.1991683, 55.964184372716, 55.9641718)"
341818015,Barrier; Wall,"c(-3.19960660568228, -3.199422, 55.963536481818, 55.9635053)"
341818016,Barrier; Wall,"c(-3.19943533286105, -3.1992614, 55.963864808226, 55.9638393)"
341818021,Barrier; Wall,"c(-3.19950262764969, -3.1993225, 55.9637358055268, 55.9637081)"
